density,formation_energy_per_atom,energy_above_hull,row_numbers,group_numbers,is_magnetic,is_metal
6.748691045089812,-0.006879308333334204,0.03304997416666344,10,5,0,1
6.781411421394513,-0.01975081833334021,0.02017846416665714,10,5,0,1
6.791641239563196,-0.006998733333333007,0.03293054916666449,10,5,0,1
9.109129867325775,-3.634369269999996,0.0,9,19,0,0
8.698073655591466,0.07776153812499587,0.2133400287499967,12,14,0,1
10.10750288448455,-0.12539605229167705,0.13170126291666406,13,14,0,1
8.513907951860771,-0.032191966458334775,0.06833016416666737,12,15,0,1
8.600356501228827,0.1274719668749995,0.1274719668749995,13,6,1,1
9.27794537808979,0.1725088818750038,0.1725088818750038,13,6,1,1
7.307826775366824,-0.22682963583334015,0.7025351300000011,10,20,0,1
8.090113400875609,0.4506825956249969,0.4506825956249969,11,9,1,1
8.42104366462826,0.06687583312499612,0.06687583312499612,13,6,0,1
8.452892521981868,0.07069343312500109,0.07069343312500109,13,6,0,1
7.958048350154888,-0.2464609893750005,0.36653497791666734,12,20,0,1
7.728659383101937,0.032081053125004644,0.032081053125004644,13,6,0,1
8.679980294323821,0.07435272562500472,0.07435272562500472,13,6,0,1
9.377220856369709,0.6916704356249994,0.6916704356249994,12,9,1,1
9.016807444368908,0.5568038581250008,0.5568038581250008,12,8,0,1
8.833790548115585,-0.3817198231250032,0.0,12,17,0,1
8.254063492955588,0.3996687147916731,0.3996687147916731,11,7,0,1
8.621865772366718,0.0723079489583327,0.0723079489583327,13,6,0,1
8.3089785939614,0.49425355062500387,0.49425355062500387,11,8,1,1
7.532052286652469,0.058625999375003346,0.058625999375003346,12,6,0,1
8.386482896353064,0.07822969270833369,0.16834704333333406,11,15,0,1
8.51561675128976,0.26751497562500504,0.26751497562500504,12,7,0,1
8.44562670528105,0.27438330562500113,0.27438330562500113,12,7,0,1
9.03733750389757,-0.27115698125000165,0.0,12,14,0,1
8.690928298442326,0.14114316562499596,0.14114316562499596,13,6,0,1
8.600180790665805,0.14289171312499604,0.14289171312499604,13,6,0,1
8.533131153955376,0.07628107687499863,0.07628107687499863,13,6,1,1
8.541776627818674,0.07124375937500105,0.07124375937500105,13,6,0,1
8.909680596172521,0.07535548687500437,0.07535548687500437,13,6,1,1
8.787879077937266,-4.465113352499998,0.004654172500000442,9,20,0,0
8.793764902943147,-4.469767524999998,0.0,9,20,0,0
7.345135733071883,-0.6843335983333342,0.0,8,4,0,1
7.784733821859042,-0.6718020309374992,0.0,8,4,0,0
7.173638101326436,0.03203310374999546,0.03203310374999546,13,6,0,1
6.793603205833718,0.025576441875003297,0.025576441875003297,13,6,0,1
5.928424529603138,-0.05989392374999625,0.0,10,5,0,1
4.364696452825614,-0.03154787937499748,0.0,10,5,0,1
3.533703416880433,-0.05941059875000013,0.0,10,5,0,1
8.01361833485228,-1.3225631381249983,0.0,9,18,0,0
9.5378414615304,0.5851438668750006,0.5851438668750006,12,8,0,1
7.222751365085316,0.03740125499999891,0.03740125499999891,13,6,0,1
8.627683228517736,-2.839377307083339,0.18926375124999595,9,19,0,1
7.395099213769491,0.04209530250000171,0.04209530250000171,13,6,0,1
6.963544360654057,0.042426806874999556,0.042426806874999556,13,6,0,1
7.4959210739849835,-1.2020438786718763,0.00487188500000002,11,19,0,1
7.684886951888176,0.04745785312499606,0.04745785312499606,13,6,0,1
8.302057251879335,0.07087070812499974,0.07087070812499974,13,6,0,1
7.79355066595012,-1.018373454375002,0.0,12,19,0,1
10.154090026482757,0.1678758637499982,0.1678758637499982,14,6,0,1
5.699300425239347,0.09506913062499223,0.09506913062499223,12,6,0,1
5.67970714526338,0.09855468562499681,0.09855468562499681,12,6,0,1
8.762918242663323,-0.8391111491666668,0.0,7,28,0,1
12.04099188665414,0.05466904416666788,0.05466904416666907,11,23,0,1
7.163037725930793,-0.3141996186111082,0.0,7,27,0,1
8.614878187275739,-0.1949094102777765,0.11929020833333182,7,27,0,1
6.748306298659036,-0.04112607593750065,0.07692717166666796,8,27,0,1
6.374803924267926,-0.10594566093750046,0.012107586666665782,8,27,0,0
6.512238384867619,-0.11448917260416636,0.003564074999999889,8,27,0,0
6.046580348456434,-0.10471481093750157,0.013338436666664677,8,27,0,0
6.093478394225378,-0.22268068548611097,0.004851448333333508,8,27,0,1
6.422762894340639,-0.10813463427083292,0.009918613333333326,8,27,0,0
6.996038716042829,-0.02402979593749895,0.09402345166666848,8,27,0,1
6.3750554217582565,-0.10744564760416608,0.010607600000000161,8,27,0,0
6.675568024896398,-0.11805324760416624,0.0,8,27,0,0
6.765301369156814,-0.08382523927083459,0.03422800833333284,8,27,0,0
6.697040973874489,-0.11803297760416598,2.0270000000266464e-05,8,27,0,0
6.45649477801871,-0.029133359270834564,0.08891988833333286,8,27,0,0
7.248676656330144,-0.19225719522569307,0.02534362000000101,9,27,0,0
7.323513446110628,-0.09186817689235956,0.12573263833333437,9,27,0,1
7.874681915409464,-0.17780315189236262,0.03979766333333146,9,27,0,1
7.625642844780926,-0.051721933333335336,0.04346793833333251,10,27,0,1
7.95531965479629,-0.053214175000003174,0.041975696666664675,10,27,0,1
8.97010786009527,0.09439199874999815,0.09439199874999815,9,26,0,1
12.44105590633127,-0.06171368874999672,0.0,11,22,0,1
12.434135258203163,-0.06130366124999753,0.0004100274999991882,11,22,0,1
9.99742337012961,0.1420431762500014,0.1420431762500014,11,26,0,1
8.963697780882413,0.08377575375000035,0.08377575375000035,9,25,0,1
9.121116272495343,0.09973090625000225,0.09973090625000225,9,25,0,1
